City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Gap,FR,44.6667,6.0,16.83,80,77,5.84,broken clouds
1,Abha,SA,18.2164,42.5053,42.62,56,0,0.0,clear sky
2,Aksha,RU,50.2814,113.2867,18.45,63,77,3.69,broken clouds
3,Anaconda,US,46.1285,-112.9423,28.96,92,93,4.68,overcast clouds
4,Thompson,CA,55.7435,-97.8558,3.36,85,75,0.0,light snow
5,Rikitea,PF,-23.1203,-134.9692,77.27,79,86,8.95,light rain
6,Punta Arenas,CL,-53.15,-70.9167,42.91,65,75,14.97,broken clouds
7,Hermanus,ZA,-34.4187,19.2345,62.91,88,64,5.23,broken clouds
8,Mayumba,GA,-3.432,10.6554,76.33,92,100,3.98,light rain
9,Flin Flon,CA,54.7682,-101.865,8.51,96,100,3.04,overcast clouds
10,Qaanaaq,GL,77.484,-69.3632,-3.66,73,2,5.14,clear sky
11,Miri,MY,4.4148,114.0089,86.14,70,40,6.91,scattered clouds
12,Kapaa,US,22.0752,-159.319,76.12,59,47,4.0,light rain
13,Cape Town,ZA,-33.9258,18.4232,64.89,85,0,3.0,clear sky
14,Airai,TL,-8.9266,125.4092,74.12,64,87,0.96,overcast clouds
15,Boulder City,US,35.9786,-114.8325,44.92,42,1,5.75,clear sky
16,Castro,BR,-24.7911,-50.0119,63.79,81,97,6.04,overcast clouds
17,Busselton,AU,-33.65,115.3333,69.55,40,100,9.57,overcast clouds
18,Bluff,NZ,-46.6,168.3333,61.81,74,57,15.23,broken clouds
19,Ponta Do Sol,PT,32.6667,-17.1,63.72,78,37,2.77,scattered clouds
20,Upernavik,GL,72.7868,-56.1549,6.94,93,100,11.45,overcast clouds
21,Vardo,NO,70.3705,31.1107,32.2,79,79,19.95,broken clouds
22,Kahului,US,20.8947,-156.47,76.84,86,69,13.0,broken clouds
23,Mar Del Plata,AR,-38.0023,-57.5575,62.87,80,0,1.99,clear sky
24,Bitung,ID,1.4451,125.1824,86.85,66,84,9.15,broken clouds
25,Inuvik,CA,68.3499,-133.7218,-4.94,77,90,14.97,mist
26,Olga,RU,43.7444,135.2892,18.95,45,0,26.8,clear sky
27,Avarua,CK,-21.2078,-159.775,75.25,88,75,13.8,moderate rain
28,Albany,US,42.6001,-73.9662,40.08,54,0,1.99,clear sky
29,Boca Do Acre,BR,-8.7522,-67.3978,74.61,98,100,2.91,overcast clouds
30,Buala,SB,-8.145,159.5921,85.03,78,65,9.04,light rain
31,Kaduy,RU,59.2,37.15,21.24,97,100,9.44,snow
32,Dikson,RU,73.5069,80.5464,-17.27,96,81,17.94,broken clouds
33,Taunggyi,MM,20.7833,97.0333,69.55,51,14,6.62,few clouds
34,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.2,93,100,14.67,overcast clouds
35,Sur,OM,22.5667,59.5289,73.89,57,22,8.55,few clouds
36,Jamestown,US,42.097,-79.2353,38.71,57,4,10.0,clear sky
37,Saint-Philippe,RE,-21.3585,55.7679,81.21,76,37,10.58,scattered clouds
38,Dankov,RU,53.2515,39.1555,19.35,73,100,11.68,overcast clouds
39,Butaritari,KI,3.0707,172.7902,82.18,76,22,16.13,few clouds
40,Mount Gambier,AU,-37.8333,140.7667,66.11,55,40,13.8,light rain
41,Port Alfred,ZA,-33.5906,26.891,72.46,93,100,12.21,overcast clouds
42,Costinesti,RO,43.95,28.6333,41.02,79,100,14.97,overcast clouds
43,Mataura,NZ,-46.1927,168.8643,61.48,37,16,7.49,few clouds
44,Vao,NC,-22.6667,167.4833,76.42,91,100,16.67,moderate rain
45,Ponta Delgada,PT,37.7333,-25.6667,56.5,76,20,9.22,few clouds
46,Shenjiamen,CN,29.9576,122.298,50.09,56,10,14.72,clear sky
47,Ribeira Grande,PT,38.5167,-28.7,58.62,55,100,12.5,overcast clouds
48,Torit,SS,4.4133,32.5678,72.88,43,73,3.38,broken clouds
49,Bethel,US,41.3712,-73.414,41.2,60,0,1.01,clear sky
50,San Quintin,MX,30.4833,-115.95,50.43,79,1,2.13,clear sky
51,Tuktoyaktuk,CA,69.4541,-133.0374,-7.6,77,75,18.41,light snow
52,Bentiu,SS,9.2333,29.8333,73.53,31,99,4.0,overcast clouds
53,Chuy,UY,-33.6971,-53.4616,64.22,85,17,7.05,light rain
54,Lagoa,PT,39.05,-27.9833,58.48,53,100,17.87,overcast clouds
55,Labuhan,ID,-6.8844,112.2051,87.69,62,23,6.2,few clouds
56,Kruisfontein,ZA,-34.0033,24.7314,66.88,98,100,5.06,overcast clouds
57,Cabo San Lucas,MX,22.8909,-109.9124,73.15,76,58,4.34,broken clouds
58,Bengkulu,ID,-3.8004,102.2655,84.22,65,49,5.06,scattered clouds
59,Saint George,US,37.1041,-113.5841,42.8,60,14,4.0,few clouds
60,Taitung,TW,22.7583,121.1444,75.47,57,75,10.36,broken clouds
61,Bubaque,GW,11.2833,-15.8333,80.83,70,33,9.89,scattered clouds
62,Talnakh,RU,69.4865,88.3972,-27.8,80,34,1.41,scattered clouds
63,Narsaq,GL,60.9167,-46.05,13.44,75,96,2.51,overcast clouds
64,Endwell,US,42.1129,-76.021,38.71,60,0,8.99,clear sky
65,Hobart,AU,-42.8794,147.3294,79.02,45,0,1.01,clear sky
66,Faanui,PF,-16.4833,-151.75,81.34,70,100,8.99,overcast clouds
67,Cockburn Town,TC,21.4612,-71.1419,79.93,74,0,21.27,clear sky
68,East London,ZA,-33.0153,27.9116,70.74,78,0,10.36,clear sky
69,Atuona,PF,-9.8,-139.0333,79.07,79,51,17.85,light rain
70,Dudinka,RU,69.4058,86.1778,-27.38,95,27,5.14,scattered clouds
71,Victoria,HK,22.2855,114.1577,71.04,67,0,1.99,clear sky
72,Nikolskoye,RU,59.7035,30.7861,25.81,98,100,3.18,snow
73,Lebu,CL,-37.6167,-73.65,50.43,85,91,8.03,overcast clouds
74,Saurimo,AO,-9.6608,20.3916,64.27,98,100,1.68,overcast clouds
75,Faya,SA,18.3851,42.4509,42.91,39,0,3.44,clear sky
76,Havre-Saint-Pierre,CA,50.2334,-63.5986,30.79,54,75,31.07,broken clouds
77,Saskylakh,RU,71.9167,114.0833,-44.57,100,75,3.33,broken clouds
78,Saint-Leu,RE,-21.15,55.2833,80.67,70,6,6.91,clear sky
79,Vaini,TO,-21.2,-175.2,78.19,77,16,17.13,light rain
80,Pa Sang,TH,18.5262,98.9394,81.48,57,5,0.87,clear sky
81,Huarmey,PE,-10.0681,-78.1522,67.24,85,57,6.26,broken clouds
82,Gondanglegi,ID,-7.7479,112.0132,89.17,59,13,9.26,few clouds
83,Oranjemund,NA,-28.55,16.4333,60.15,95,9,4.54,clear sky
84,Chapais,CA,49.7834,-74.8492,29.98,95,100,13.06,light snow
85,Coihaique,CL,-45.5752,-72.0662,49.95,76,75,5.75,broken clouds
86,Tessalit,ML,20.1986,1.0114,66.47,10,70,7.83,broken clouds
87,Kutum,SD,14.2,24.6667,61.77,38,30,5.41,scattered clouds
88,Tuatapere,NZ,-46.1333,167.6833,61.83,57,67,7.18,broken clouds
89,Broken Hill,AU,-31.95,141.4333,94.3,10,58,7.36,broken clouds
90,Gurlan,UZ,41.8447,60.3919,30.27,83,99,8.9,overcast clouds
91,Basco,PH,20.4487,121.9702,76.42,70,45,24.4,scattered clouds
92,Katobu,ID,-4.9408,122.5276,88.7,60,99,4.21,overcast clouds
93,Fortuna Foothills,US,32.6578,-114.4119,53.22,40,1,2.39,clear sky
94,Hilo,US,19.7297,-155.09,72.81,1,71,7.76,broken clouds
95,Meulaboh,ID,4.1363,96.1285,81.88,77,67,4.74,broken clouds
96,Staryy Nadym,RU,65.6118,72.6842,-25.47,100,63,2.17,broken clouds
97,Cidreira,BR,-30.1811,-50.2056,71.08,94,1,10.71,clear sky
98,Arraial Do Cabo,BR,-22.9661,-42.0278,75.09,95,100,10.18,overcast clouds
99,Severo-Kurilsk,RU,50.6789,156.125,33.04,82,44,2.95,scattered clouds
100,Mitsamiouli,KM,-11.3847,43.2844,79.09,73,20,3.44,few clouds
101,Georgetown,MY,5.4112,100.3354,87.89,71,20,1.01,few clouds
102,Ushuaia,AR,-54.8,-68.3,34.77,91,81,3.13,broken clouds
103,New Norfolk,AU,-42.7826,147.0587,78.66,23,3,3.6,clear sky
104,Simplicio Mendes,BR,-7.8539,-41.9103,80.13,54,99,3.65,overcast clouds
105,Katsuura,JP,35.1333,140.3,59.11,42,39,13.06,scattered clouds
106,Santa Maria,BR,-29.6842,-53.8069,70.9,88,0,3.44,clear sky
107,Kropotkin,RU,45.4375,40.5756,39.42,76,100,14.81,overcast clouds
108,Puerto Ayora,EC,-0.7393,-90.3518,68.56,96,91,1.99,overcast clouds
109,Ilulissat,GL,69.2167,-51.1,15.82,67,33,1.14,scattered clouds
110,Bom Jesus,BR,-9.0744,-44.3586,73.08,87,97,1.59,overcast clouds
111,Pontes E Lacerda,BR,-15.2261,-59.3353,72.68,98,100,2.64,overcast clouds
112,Salalah,OM,17.0151,54.0924,70.45,50,0,11.1,clear sky
113,Tiksi,RU,71.6872,128.8694,-19.16,100,100,1.32,overcast clouds
114,Lata,PT,40.1629,-8.3327,55.81,86,9,4.47,clear sky
115,Clyde River,CA,70.4692,-68.5914,-18.06,99,91,4.74,overcast clouds
116,Mehamn,NO,71.0357,27.8492,31.91,95,100,7.09,light snow
117,Obsharovka,RU,53.125,48.8531,16.16,76,15,4.56,few clouds
118,Hovd,MN,48.0056,91.6419,13.28,59,71,1.21,broken clouds
119,Champerico,GT,14.3,-91.9167,81.03,77,0,4.72,clear sky
120,Feijo,BR,-8.1642,-70.3536,73.27,99,96,2.57,overcast clouds
121,Barrow,US,71.2906,-156.7887,-14.78,76,1,10.36,clear sky
122,Margate,GB,51.3813,1.3862,51.96,80,100,4.0,overcast clouds
123,Bardiyah,LY,31.7561,25.0865,58.39,79,0,9.08,clear sky
124,Haines Junction,CA,60.7522,-137.5108,-10.21,98,100,3.42,overcast clouds
125,Pringsewu,ID,-5.3582,104.9744,88.83,58,62,2.35,broken clouds
126,Bisira,PA,8.5196,-81.7115,56.97,94,71,5.5,broken clouds
127,Deputatskiy,RU,69.3,139.9,-38.16,100,37,2.04,scattered clouds
128,The Valley,AI,18.217,-63.0578,81.1,75,54,23.17,broken clouds
129,Grand Gaube,MU,-20.0064,57.6608,82.38,65,6,5.99,clear sky
130,Alice Springs,AU,-23.7,133.8833,94.55,15,45,4.61,scattered clouds
131,Mahebourg,MU,-20.4081,57.7,81.25,78,75,6.91,broken clouds
132,Hasaki,JP,35.7333,140.8333,55.29,31,54,16.33,broken clouds
133,Provideniya,RU,64.3833,-173.3,-8.64,70,59,15.66,broken clouds
134,Upata,VE,8.0086,-62.3989,72.19,98,100,2.57,overcast clouds
135,Tasiilaq,GL,65.6145,-37.6368,33.96,91,100,4.52,overcast clouds
136,Powell River,CA,49.8496,-124.5361,42.01,82,100,8.05,overcast clouds
137,Pachino,IT,36.7186,15.0907,39.24,70,26,4.83,scattered clouds
138,Torbay,CA,47.6666,-52.7314,37.67,78,100,11.01,overcast clouds
139,Pevek,RU,69.7008,170.3133,-32.49,96,10,1.92,clear sky
140,Hami,CN,42.8,93.45,24.58,39,40,2.39,scattered clouds
141,Sobolevo,RU,54.4299,31.8996,31.6,99,100,4.43,snow
142,Shelburne,CA,44.0787,-80.2041,37.53,74,59,21.7,broken clouds
143,La Ronge,CA,55.1001,-105.2842,5.31,97,100,1.95,overcast clouds
144,Carutapera,BR,-1.195,-46.02,79.27,84,43,7.16,scattered clouds
145,Kavieng,PG,-2.5744,150.7967,83.19,76,92,9.42,moderate rain
146,Husavik,IS,66.0449,-17.3389,30.58,78,95,16.75,overcast clouds
147,Kharan,PK,28.5833,65.4167,54.36,21,0,4.9,clear sky
148,San Patricio,US,28.017,-97.5169,64.26,78,3,4.92,clear sky
149,Padang,ID,-0.9492,100.3543,79.61,86,100,4.12,overcast clouds
150,Valparaiso,CL,-33.0393,-71.6273,56.84,62,0,5.75,clear sky
151,San Fernando,PH,15.0286,120.6898,87.84,51,67,9.93,broken clouds
152,Kloulklubed,PW,7.0419,134.2556,83.12,80,97,14.7,overcast clouds
153,Bambous Virieux,MU,-20.3428,57.7575,81.21,78,75,6.91,broken clouds
154,Carnarvon,AU,-24.8667,113.6333,77.47,56,1,19.51,clear sky
155,Miass,RU,55.045,60.1083,9.55,86,35,4.29,scattered clouds
156,Ghanzi,BW,-21.5667,21.7833,67.41,77,92,3.91,overcast clouds
157,Port Elizabeth,ZA,-33.918,25.5701,70.09,94,75,4.61,light rain
158,Mumbwa,ZM,-14.9783,27.0619,73.49,38,86,8.57,overcast clouds
159,Naze,JP,28.3667,129.4833,59.67,66,94,15.99,overcast clouds
160,Stephenville,US,32.2207,-98.2023,48.16,47,1,8.05,clear sky
161,Fairbanks,US,64.8378,-147.7164,-12.78,67,99,0.65,overcast clouds
162,Chunskiy,RU,56.0815,99.6342,9.54,92,99,6.44,overcast clouds
163,Souillac,MU,-20.5167,57.5167,80.37,78,75,6.91,broken clouds
164,Goderich,CA,43.7501,-81.7165,43.12,61,74,24.16,broken clouds
165,Gloversville,US,43.0528,-74.3438,39.11,67,1,1.99,clear sky
166,Sayyan,YE,15.1718,44.3244,41.58,52,0,3.83,clear sky
167,Halifax,CA,44.6453,-63.5724,38.41,68,0,5.01,clear sky
168,Inirida,CO,3.8653,-67.9239,73.9,91,87,2.39,overcast clouds
169,Samarai,PG,-10.6167,150.6667,84.16,76,100,14.56,light rain
170,Fort-Shevchenko,KZ,44.5086,50.263,27.37,76,0,17.56,clear sky
171,Lipin Bor,RU,60.2622,37.9763,26.55,97,100,9.53,snow
172,Grand-Santi,GF,4.25,-54.3833,73.22,100,100,1.88,overcast clouds
173,Kostomuksha,RU,64.571,30.5767,22.77,97,100,3.85,overcast clouds
174,Sernur,RU,56.9333,49.1536,11.39,83,87,9.44,overcast clouds
175,Pacific Grove,US,36.6177,-121.9166,53.71,85,90,5.01,overcast clouds
176,Guapimirim,BR,-22.5372,-42.9819,74.59,96,100,4.76,overcast clouds
177,Vila Franca Do Campo,PT,37.7167,-25.4333,56.19,58,100,12.5,overcast clouds
178,Sibolga,ID,1.7427,98.7792,78.82,87,100,3.24,overcast clouds
179,Akyab,MM,20.15,92.9,77.97,50,2,5.75,clear sky
180,Chokurdakh,RU,70.6333,147.9167,-36.33,97,100,2.04,overcast clouds
181,Acarau,BR,-2.8856,-40.12,80.42,79,91,14.2,overcast clouds
182,Adre,TD,13.4667,22.2,65.98,28,75,8.79,broken clouds
183,Sfantu Gheorghe,RO,45.8667,25.7833,41.27,96,100,3.8,overcast clouds
184,Bredasdorp,ZA,-34.5322,20.0403,58.28,92,99,3.62,overcast clouds
185,Beipiao,CN,41.7919,120.7792,29.8,22,0,10.51,clear sky
186,Nouadhibou,MR,20.931,-17.0347,62.58,67,33,19.57,scattered clouds
187,Kaitangata,NZ,-46.2817,169.8464,63.93,69,44,7.4,scattered clouds
188,Ugoofaaru,MV,5.6667,73.0,80.73,80,84,13.85,broken clouds
189,Dwarka,IN,22.2394,68.9678,75.25,48,0,9.69,clear sky
190,Furano,JP,43.2818,142.4743,24.3,86,100,18.92,snow
191,Cairns,AU,-16.9167,145.7667,90.95,64,40,12.66,scattered clouds
192,Egvekinot,RU,66.3167,-179.1667,-20.24,76,17,7.34,few clouds
193,Hervey Bay,AU,-25.2986,152.8535,84.31,65,34,16.84,scattered clouds
194,Bowen,AU,-20.0167,148.2333,88.02,58,18,22.19,few clouds
195,Maralal,KE,1.0968,36.698,57.65,80,70,5.77,broken clouds
196,Srednekolymsk,RU,67.45,153.6833,-31.16,95,99,2.66,overcast clouds
197,Talakan,RU,50.3167,130.3667,-0.17,83,83,3.36,broken clouds
198,Namatanai,PG,-3.6667,152.4333,86.25,67,96,6.6,light rain
199,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,51,0,13.42,clear sky
200,Looc,PH,12.2605,121.9926,84.0,70,51,16.2,broken clouds
201,Dunedin,NZ,-45.8742,170.5036,61.05,72,92,11.54,overcast clouds
202,Ahipara,NZ,-35.1667,173.1667,68.34,96,100,6.53,light rain
203,Paka,MY,4.6374,103.4368,81.82,74,52,12.84,broken clouds
204,Palu,ID,-0.8917,119.8707,90.7,58,87,5.37,overcast clouds
205,Nortelandia,BR,-14.4547,-56.8028,73.35,98,100,7.94,moderate rain
206,Saint-Andre-Les-Vergers,FR,48.2853,4.0521,45.09,100,90,3.44,overcast clouds
207,Gladstone,AU,-23.85,151.25,87.78,45,40,17.27,scattered clouds
208,Sabang,ID,5.8933,95.3214,82.15,72,42,18.92,scattered clouds
209,Gorontalo,ID,0.5412,123.0595,86.88,73,95,4.65,overcast clouds
210,Portland,US,45.5234,-122.6762,42.73,93,90,1.01,moderate rain
211,Isangel,VU,-19.55,169.2667,86.11,79,75,5.75,moderate rain
212,Ostrovnoy,RU,68.0531,39.5131,28.49,92,100,13.38,overcast clouds
213,Karacakoy,TR,41.4029,28.3834,53.64,92,100,6.53,light rain
214,La Asuncion,VE,11.0333,-63.8628,65.93,100,53,9.22,broken clouds
215,Tateyama,JP,34.9833,139.8667,57.15,48,34,12.3,scattered clouds
216,Chake Chake,TZ,-5.2459,39.7666,76.8,83,18,2.35,light rain
217,Ust-Kulom,RU,61.6864,53.6902,-4.81,99,83,3.53,broken clouds
218,Revda,RU,56.801,59.9303,11.21,77,100,6.91,overcast clouds
219,Pascagoula,US,30.3658,-88.5561,45.55,96,3,6.98,clear sky
220,Codrington,AU,-38.2667,141.9667,68.25,61,100,20.96,light rain
221,Yellowknife,CA,62.456,-114.3525,6.57,84,100,5.01,overcast clouds
222,Villiers,ZA,-27.0303,28.6006,60.98,91,100,5.73,light rain
223,Richards Bay,ZA,-28.783,32.0377,76.77,74,100,6.91,overcast clouds
